,request_id,slot,metric_filter_id,metric,n_reqs_1,n_reqs_2,n_reqs_3,program_id,subprogram_name,total_requests_tonight,exposure_time,n_usable,observable_tonight,Yrtf_val,scheduled,field_id
201,18,5831,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
202,18,5831,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
203,18,5831,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,297
204,19,5815,1,0.5601470090039924,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
205,19,5815,2,0.46132997081731075,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
206,19,5815,3,0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
207,19,5816,1,0.5292017313597578,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
208,19,5816,2,0.42645224799435183,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
209,19,5816,3,0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
210,19,5817,1,0.39998872202683466,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
211,19,5817,2,0.2666278580550084,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
212,19,5817,3,0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
213,19,5818,1,0.310478467253798,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
214,19,5818,2,0.22367055031841726,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
215,19,5818,3,0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
216,19,5819,1,0.24667887970961386,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
217,19,5819,2,0.1895412420336856,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
218,19,5819,3,0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
219,19,5820,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
220,19,5820,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
221,19,5820,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
222,19,5821,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
223,19,5821,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
224,19,5821,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
225,19,5822,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
226,19,5822,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
227,19,5822,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
228,19,5823,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
229,19,5823,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
230,19,5823,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
231,19,5824,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
232,19,5824,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
233,19,5824,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
234,19,5825,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
235,19,5825,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
236,19,5825,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
237,19,5826,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
238,19,5826,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
239,19,5826,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
240,19,5827,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
241,19,5827,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
242,19,5827,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
243,19,5828,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
244,19,5828,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
245,19,5828,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
246,19,5829,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
247,19,5829,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
248,19,5829,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
249,19,5830,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
250,19,5830,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
251,19,5830,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
252,19,5831,1,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
253,19,5831,2,-0.495,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
254,19,5831,3,-0.0,1,1,0,1,all_sky,2,30.0,5,True,False,False,298
255,20,5815,1,0.5576514325963113,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
256,20,5815,2,0.46383619743346677,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
257,20,5815,3,0.0,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
258,20,5816,1,0.5642307925351354,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
259,20,5816,2,0.48245463715017867,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
260,20,5816,3,0.0,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
261,20,5817,1,0.4010400081108181,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
262,20,5817,2,0.2787506298268676,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
263,20,5817,3,0.0,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
264,20,5818,1,0.3128803769053987,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
265,20,5818,2,0.23730967763580074,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
266,20,5818,3,0.0,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
267,20,5819,1,0.26156758891710813,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
268,20,5819,2,0.20925947291429642,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
269,20,5819,3,0.0,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
270,20,5820,1,0.2434846913929583,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
271,20,5820,2,0.1818230898436502,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
272,20,5820,3,0.0,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
273,20,5821,1,-0.495,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
274,20,5821,2,-0.495,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
275,20,5821,3,-0.0,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
276,20,5822,1,-0.495,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
277,20,5822,2,-0.495,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
278,20,5822,3,-0.0,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
279,20,5823,1,-0.495,1,1,0,1,all_sky,2,30.0,6,True,False,False,299
