Galaxy,RA,Dec,ukirt_ref,vista_ref,ref_exists
2MASS J14030114+5414282,210.75487,54.24149,True,False,True
SDSS J140353.91+542211.2,210.97467,54.36979,True,False,True
SDSS J140331.32+542114.5,210.87975,54.35417,True,False,True
SDSS J140253.69+541522.7,210.7231,54.25598,True,False,True
SDSS J140452.42+533914.2,211.21845,53.65395,True,False,True
SDSS J140410.98+542521.6,211.045,54.42198,True,False,True
SDSS J140457.78+534128.2,211.24078,53.69117,True,False,True
SDSS J140347.96+541958.2,210.95025,54.33291,True,False,True
SDSS J140252.33+542616.6,210.71805,54.43796,True,False,True
NGC 5457:[HK83] 008,210.97066,54.3694,True,False,True
2MASS J14033242+5417197,210.88458,54.28872,True,False,True
SDSS J140456.37+533938.1,211.23471,53.66161,True,False,True
SDSS J140334.05+541836.9,210.89131,54.31023,True,False,True
SDSS J140339.84+541856.8,210.91558,54.31621,True,False,True
SDSS J140508.15+533917.5,211.284,53.65486,True,False,True
SDSS J140532.22+542734.8,211.38425,54.45854173096753,True,False,True
NGC 5576,215.26533333333,3.271,True,True,True
NGC 5577,215.304625,3.43577777778,True,True,True
NGC 5574,215.23319583333,3.23800555556,True,True,True
SDSS J142114.72+032623.8,215.31137,3.43998,True,True,True
SDSS J142200.02+023422.3,215.50012379400002,2.5728646555,True,True,True
SDSS J142105.14+031615.5,215.27145,3.27097,True,True,True
SDSS J142110.45+032539.1,215.2936,3.42753055556,True,True,True
NGC 1425,55.54779166667,-29.893333333330002,False,True,True
NGC 4088,181.3905,50.539385,True,False,True
SN 2009dd,181.39208333333,50.5385,True,False,True
GALEXASC J120543.40+503319.9,181.43085,50.55554,True,False,True
SDSS J120549.54+504729.0,181.45642175810002,50.7914191461,True,False,True
2MASS J12053159+5032458,181.38121,50.54594,True,False,True
SDSS J120847.78+511146.8,182.1991,51.19637,True,False,True
2MASS J12053648+5032053,181.40220833333,50.53483333333,True,False,True
2MASS J12053779+5033046,181.40742,50.55122,True,False,True
HIJASS J1205+50,181.38216666667,50.51558333333,True,False,True
MESSIER 051a,202.46962916667,47.19517222222,True,False,True
MESSIER 051b,202.49829166666999,47.26613888889,True,False,True
NGC 1371,53.75558791667,-24.93323277778,False,True,True
NGC 1385,54.3702,-24.50029888889,False,True,True
ESO 482- G 011,54.07245833333001,-25.60472222222,False,True,True
ESO 482- G 013,54.22447461715,-24.91270611849,False,True,True
NGC 3640,170.27854166667,3.23483333333,True,True,True
UGC 06345,170.065,2.52527777778,True,True,True
NGC 3640 COMP,170.46391666667,3.40483333333,True,True,True
SDSS J112003.09+024122.6,170.0129044365,2.6896299299,True,True,True
